  I     	  II     	  PW     	  PW'
-57.37	-90.03	18.07	-50.86
-56.15	-84.53	17.86	-45.78
-53.41	-78.43	17.68	-45.78
-50.35	-72.94	17.5	-25.43
-47.3	-66.83	17.4	-10.17
-44.86	-57.98	17.35	20.35
-43.95	-46.69	17.44	50.86
-44.25	-34.48	17.64	86.47
-44.25	-24.41	17.99	106.82
-43.95	-18.62	18.41	122.07
-43.33	-17.4	18.9	122.07
-43.03	-18.92	19.39	106.82
-43.33	-22.28	19.82	76.3
-44.25	-26.25	20.12	45.78
-45.78	-30.52	20.31	0
-46.39	-33.26	20.31	-30.52
-45.78	-33.87	20.18	-55.95
-43.95	-31.74	19.96	-55.95
-41.81	-28.69	19.74	-55.95
-39.37	-26.55	19.51	-30.52
-36.93	-26.86	19.39	-10.17
-34.79	-29.6	19.35	15.26
-33.26	-33.87	19.41	25.43
-32.96	-37.84	19.51	35.61
-34.18	-40.59	19.65	35.61
-35.1	-42.42	19.8	20.35
-33.87	-44.56	19.88	5.09
-29.91	-48.22	19.9	-5.09
-24.41	-53.71	19.88	-20.35
-20.14	-60.12	19.8	-25.43
-19.23	-66.83	19.69	-25.43
-20.45	-73.55	19.59	-20.35
-22.58	-82.09	19.51	-10.17
-23.5	-93.38	19.47	0
-21.97	-106.81	19.47	10.17
-18.92	-120.54	19.51	20.35
-15.26	-132.75	19.59	25.43
-11.9	-141.91	19.69	25.43
-7.93	-148.01	19.8	30.52
-2.44	-151.67	19.92	30.52
3.36	-154.11	20.04	25.43
8.85	-157.17	20.14	25.43
12.82	-161.74	20.24	25.43
14.65	-168.15	20.35	25.43
16.48	-173.65	20.45	20.35
19.23	-173.65	20.53	20.35
23.19	-166.02	20.61	20.35
26.55	-150.15	20.69	15.26
28.69	-129.7	20.75	15.26
28.69	-108.34	20.81	15.26
27.47	-87.89	20.87	15.26
26.86	-68.97	20.94	25.43
27.47	-51.27	21.04	30.52
29.6	-32.96	21.16	35.61
30.82	-14.34	21.3	50.86
29.3	4.58	21.51	50.86
25.02	22.89	21.71	50.86
18.62	38.45	21.91	55.95
12.82	49.74	22.14	50.86
10.07	56.46	22.34	45.78
9.16	58.9	22.52	45.78
8.85	59.2	22.71	45.78
7.02	59.2	22.89	50.86
3.36	59.2	23.09	50.86
-1.22	59.81	23.3	61.04
-5.49	60.42	23.54	66.12
-9.16	60.73	23.8	66.12
-12.21	60.42	24.07	76.3
-15.26	57.98	24.37	71.21
-18.31	53.1	24.66	71.21
-21.67	45.78	24.94	61.04
-24.72	36.32	25.19	55.95
-27.16	25.02	25.41	35.61
-29.91	13.43	25.55	15.26
-33.26	4.27	25.62	0
-38.15	-0.61	25.62	-25.43
-43.64	0.61	25.51	-35.61
-47	6.1	25.37	-25.43
-45.78	12.51	25.27	0
-39.37	15.87	25.27	40.69
-30.82	14.95	25.43	91.56
-23.19	10.99	25.8	137.33
-18.01	7.63	26.35	172.94
-14.34	7.63	27.04	183.11
-10.99	12.21	27.77	172.94
-8.54	20.75	28.46	147.51
-8.24	30.52	29.05	106.82
-11.29	39.06	29.48	66.12
-16.48	44.56	29.75	30.52
-21.67	46.39	29.87	0
-23.19	46.08	29.87	-10.17
-21.06	46.39	29.83	-5.09
-16.48	49.13	29.81	0
-13.12	54.02	29.81	20.35
-12.21	59.2	29.89	40.69
-14.34	62.56	30.05	50.86
-16.48	63.78	30.25	50.86
-16.17	64.09	30.46	50.86
-13.73	65	30.66	35.61
-10.38	66.83	30.8	15.26
-8.54	68.05	 30.86(V)	-5.09
-9.16	67.75	30.84	-30.52
-10.68	65	30.72	-40.69
-11.9	61.34	30.56	-50.86
-11.29	57.98	30.36	-50.86
-9.46	56.15	30.15	-50.86
-7.63	54.63	29.95	-45.78
-7.32	52.49	29.77	-45.78
-7.93	47.91	29.58	-40.69
-9.77	41.5	29.42	-45.78
-10.68	35.4	29.24	-45.78
-9.46	31.74	29.05	-55.95
-5.8	31.74	28.83	-66.12
-1.22	34.79	28.57	-76.3
3.05	38.15	28.26	-81.38
4.58	40.28	27.93	-91.56
3.36	40.28	27.57	-91.56
0	39.06	27.2	-96.64
-4.58	37.23	26.82	-91.56
-9.77	36.01	26.45	-86.47
-14.95	35.4	26.1	-81.38
-19.53	35.1	25.78	-76.3
-22.58	34.48	25.47	-66.12
-24.41	33.26	25.21	-71.21
-25.33	31.43	24.92	-66.12
-26.55	29.91	24.66	-76.3
-27.77	28.08	24.35	-76.3
-28.69	25.33	24.05	-81.38
-28.38	20.75	23.72	-81.38
-26.55	14.04	23.4	-81.38
-24.72	6.71	23.07	-76.3
-22.89	0.31	22.77	-66.12
-19.84	-3.05	22.5	-66.12
-13.43	0.92	22.24	-61.04
-1.53	18.01	21.99	-61.04
19.84	56.46	21.75	-66.12
56.76	126.95	21.49	-66.12
116.88	235.6	21.22	-71.21
203.55	381.47	20.94	-71.21
309.14	549.32	20.65	-76.3
406.19	706.79	20.35	-76.3
457.46	812.99	20.04	-76.3
436.71	835.88(R)	19.74	-71.21
350.04	771.79	19.45	-76.3
233.46	646.06	19.15	-66.12
133.97	498.96	18.88	-55.95
77.82	364.38	18.66	-55.95
57.68	256.65	18.43	-45.78
46.69	173.65	18.25	-35.61
25.02	111.69	18.11	-40.69
-6.1	68.97	17.94	-35.61
-32.65	42.11	17.8	-45.78
-43.33	23.19	17.62	-50.86
-40.28	4.88	17.42	-66.12
-34.48	-15.87	17.15	-71.21
-34.79	-35.4	16.87	-86.47
-41.5	-46.69	16.52	-86.47
-49.74	-48.22	16.17	-76.3
-54.02	-44.25	15.87	-66.12
-53.71	-40.89	15.61	-50.86
-50.96	-40.89	15.4	-35.61
-48.83	-43.03	15.26	-30.52
-48.52	-45.47	15.14	-30.52
-49.13	-46.39	15.02	-25.43
-49.74	-46.39	14.91	-20.35
-50.66	-46.08	14.83	-10.17
-52.8	-46.39	14.79	10.17
-57.07	-47.3	14.83	30.52
-62.26	-49.13	14.95	55.95
-67.14	-51.88	15.18	71.21
-69.89	-55.54	15.46	86.47
-70.5	-59.51	15.81	76.3
-68.66	-63.17	16.11	66.12
-65.31	-65.31	16.38	45.78
-60.73	-65.31	16.56	10.17
-55.54	-64.09	16.6	-5.09
-51.57	-63.17	16.58	-30.52
-49.13	-63.48	16.46	  N/A
